,open,high,low,close,volume
2022-09-29,153.96,155.04,146.95,151.01,2841081
2022-09-30,149.75,152.79,147.43,147.51,2112798
2022-10-03,149.52,153.9,147.8,151.96,2415512
2022-10-04,156.48,159.96,155.49,159.89,2392218
2022-10-05,156.83,162.35,155.13,161.24,1904454
2022-10-06,161.26,163.785,158.87,158.99,1559992
2022-10-07,154.87,154.87,150.3622,151.75,2753027
2022-10-10,151.74,151.96,146.08,147.5,1812098
2022-10-11,145.0,145.775,141.5622,143.75,3004364
2022-10-12,142.55,143.79,140.13,140.28,2066889
2022-10-13,134.19,145.24,132.08,143.17,3307402
2022-10-14,144.9,145.54,137.08,138.09,2893033
2022-10-17,141.81,143.165,139.5,141.27,1972101
2022-10-18,143.44,146.4754,137.73,140.95,2218572
2022-10-19,140.37,143.975,139.83,141.32,2160432
2022-10-20,142.08,143.74,138.575,139.04,2895772
2022-10-21,138.71,145.59,137.51,145.25,2496459
2022-10-24,144.01,145.77,140.45,144.94,1921732
2022-10-25,145.44,148.79,144.81,148.74,2831861
2022-10-26,146.69,152.64,144.14,147.28,2023382
2022-10-27,149.33,151.86,144.86,145.12,2197887
2022-10-28,145.96,152.19,145.0,151.66,2552031
2022-10-31,149.77,150.58,145.54,146.08,3307191
2022-11-01,150.48,153.85,147.8,151.85,4306559
2022-11-02,151.95,158.5,148.41,148.61,2977969
2022-11-03,146.39,146.39,142.755,144.85,2373323
2022-11-04,149.9,151.84,146.93,151.06,2385672
2022-11-07,152.7,158.22,151.31,157.9,2451175
2022-11-08,161.41,165.1,159.77,163.11,2659159
2022-11-09,159.94,161.03,154.63,154.72,2780129
2022-11-10,163.98,165.81,161.67,165.47,4487685
2022-11-11,166.52,171.0,163.54,169.94,2515251
2022-11-14,168.04,172.655,168.04,169.01,1823402
2022-11-15,175.22,176.66,171.89,174.81,2335636
2022-11-16,171.54,172.855,165.48,166.88,2204373
2022-11-17,162.56,170.4,162.56,170.09,1460548
2022-11-18,172.82,172.83,169.22,171.94,1533725
2022-11-21,170.44,171.275,168.12,168.85,1271227
2022-11-22,169.75,173.43,168.0,173.41,1695549
2022-11-23,174.09,179.03,173.275,175.2,1586522
2022-11-25,174.97,175.52,172.69,172.69,735363
2022-11-28,169.05,170.86,163.38,164.1,2758037
2022-11-29,164.68,166.26,162.79,164.69,1347265
2022-11-30,165.07,176.66,162.61,175.84,3654139
2022-12-01,177.55,178.07,173.13,173.44,2083001
2022-12-02,169.17,171.2,167.32,171.06,1619959
2022-12-05,169.81,170.3,166.535,168.37,1208132
2022-12-06,166.66,167.8685,161.14,163.08,1903991
2022-12-07,161.45,164.305,160.0,163.95,1427249
2022-12-08,164.65,171.87,163.53,171.47,2520290
