Date,open,high,low,close,volume,C-O,BuySignal
08-07-21,194.22,197.13,191.75,195.99,1930507,1.77,1
09-07-21,196.1,201.25,194.805,200.35,1384639,4.25,0
12-07-21,202.4,204.49,200.72,204.41,2090411,2.01,0
13-07-21,203.71,204.83,202.885,204,1708456,0.29,0
14-07-21,206.56,208.75,202.56,203.55,1612932,-3.01,0
15-07-21,197.25,199.565,192.81,194.41,3958025,-2.84,0
16-07-21,195.39,197.27,189.54,190.11,2342466,-5.28,0
19-07-21,187.56,189.37,184.92,188.62,2592730,1.06,1
20-07-21,189.09,195.02,187.84,193.31,1797142,4.22,1
21-07-21,193,198.68,193,198.62,1890946,5.62,0
22-07-21,196.84,196.84,192.25,194.31,1926367,-2.53,1
23-07-21,195.69,196.94,193.79,196.35,1933382,0.66,0
26-07-21,196,198.72,195.73,198.16,1535792,2.16,0
27-07-21,196.53,197,190.65,194.25,2024750,-2.28,1
28-07-21,195.16,200.1,195.16,198.58,1752904,3.42,1
29-07-21,201.765,204.825,201.02,204.27,1666411,2.505,1
30-07-21,202.34,206.67,202.02,206.39,1635734,4.05,0
02-08-21,210.195,215.89,208.56,208.98,3383940,-1.215,1
03-08-21,210.1,210.99,203.04,210.53,2082363,0.43,1
04-08-21,211.13,214.34,209.64,212.43,1818050,1.3,1
05-08-21,213.32,214.88,211.11,212.9,1778006,-0.42,1
06-08-21,211.69,214.32,211.69,213.75,1259830,2.06,0
09-08-21,215.12,218.16,212.92,217.11,2147325,1.99,1
10-08-21,216.71,218.03,214.19,217.26,1564729,0.55,1
11-08-21,217.67,218.84,214.01,218.42,1475465,0.75,0
12-08-21,216.45,217.23,213.38,214.53,2399837,-1.92,1
13-08-21,214.14,216.82,213.515,215.26,1421420,1.12,0
16-08-21,212.98,214.6,211.98,213.18,1543381,0.2,0
17-08-21,211.28,211.77,204.6,206.5,2280923,-4.78,0
18-08-21,206.5,208.07,203.6,203.82,1536738,-2.68,0
19-08-21,200.75,203.42,199.61,203.02,2372224,2.27,1
20-08-21,202.7,205.23,202.35,205,1325109,2.3,0
23-08-21,206.34,211.31,206.34,210.63,1739300,4.29,1
24-08-21,212.275,215.06,211.825,214.52,1688089,2.245,1
25-08-21,216,219.08,215.29,217.79,1909335,1.79,1
26-08-21,217.24,223.38,215.63,222.24,2331314,5,1
27-08-21,222.77,226.88,221.99,226.51,1746227,3.74,0
30-08-21,227.34,228.72,225.55,227.64,1150568,0.3,0
31-08-21,222.25,222.25,209.8,215.13,5156665,-7.12,0
01-09-21,215.445,215.86,211.45,211.5,2551875,-3.945,1
02-09-21,212.92,213.225,210.705,211.91,1856214,-1.01,1
03-09-21,213.09,215.38,212.3,212.99,1813864,-0.1,0
07-09-21,213.45,213.49,211.36,212.86,1822880,-0.59,0
08-09-21,211.94,212.74,207.25,208.12,1740924,-3.82,1
09-09-21,209.83,211.914,209,210.46,2448040,0.63,1
10-09-21,212.94,216.5,212,212.12,1835643,-0.82,0
13-09-21,214.43,216.26,211.68,214.77,1416557,0.34,0
14-09-21,216.11,216.3236,211.15,211.48,1405483,-4.63,1
15-09-21,212.67,212.7,209.9672,212.34,1414786,-0.33,1
16-09-21,211.0293,213.71,208.785,213.03,1502921,2.0007,0
17-09-21,211.63,212.19,207.91,209.33,4877768,-2.3,0
20-09-21,204.91,205,198.94,202.78,2959538,-2.13,1
21-09-21,204.66,207.77,203.01,206.06,1524286,1.4,1
22-09-21,207.8052,213.27,207.11,213.08,1734668,5.2748,1
23-09-21,214.15,218.08,213.01,216.35,1430769,2.2,1
24-09-21,215.01,218.02,214.03,216.67,1096875,1.66,0
27-09-21,214.2,218.14,212.72,216.69,1069800,2.49,0
28-09-21,212.65,214,205.95,206.19,2201949,-6.46,0
29-09-21,202.91,203.79,197.86,198.75,1976559,-4.16,0
30-09-21,200.57,201.49,195.71,195.87,2344655,-4.7,0
01-10-21,196.33,197.28,191,192.89,3381558,-3.44,0
04-10-21,193.71,193.94,187.91,188.95,2551739,-4.76,1
05-10-21,190.69,193.59,188.68,191.63,2246386,0.94,0
06-10-21,188.67,191.94,188.41,190.9,1847474,2.23,1
07-10-21,193.51,197.37,193.51,193.85,1514519,0.34,0
08-10-21,194.51,194.67,189.99,190.31,1394358,-4.2,0
11-10-21,189.34,191.16,185.735,185.94,2144042,-3.4,0
12-10-21,187.15,187.745,182.335,183.19,3021017,-3.96,0
13-10-21,184.42,186.22,182.41,183.1,2767065,-1.32,1
14-10-21,187,189.94,186.76,189.1,2682375,2.1,1
15-10-21,190.39,191.73,189.1,189.81,1772478,-0.58,0
18-10-21,188.21,192.32,187.15,192.26,2028233,4.05,1
19-10-21,192.83,197.13,191.52,196.95,2100596,4.12,1
20-10-21,196.56,199.79,194.79,197.52,2100397,0.96,1
21-10-21,196.3,201.52,196,201.25,1688657,4.95,0
22-10-21,201.58,203.43,199.88,199.93,1829466,-1.65,0
